Original_Japanese,Translated_English
わたしの任務もそろそろ終わりが見えてきた。情報は奪還したし。後は事件の黒幕を捕まえるだけなのだ。,My mission was nearing its end. I had recovered the stolen   information. All that remained was to capture the mastermind behind the incident.
エリコを尋問する前は、事件の本当の黒幕は彼女だと思っていた。しかし、今ではプリスが彼女を利用したと信じている。,"Before I interrogated Eriko, I thought she was the real      mastermind behind the incident. But now, I believe Priss usedher."
エイプリルやレイファや他の囚人達も、どういう理由でかは知らないがプリスに命令されて軍の機密を盗んだに違いない。,"I strongly suspect April, Lei-Fa, and the other Prisoners    stole military secrets, presumably on Priss's orders. The    motive, however, remains unclear to me."
レイファの背中に描かれた刺青は、見ようによってはマトリクスを現しているのか、電子機器の回路図のようだった。,"The tattoo on Lei-Fa's back looked like it depicted the      Matrix, or perhaps an electronic circuit diagram."
それが何を意味しているのかわたしには理解できないが、軍部は納得いく解答を導き出しただろう。,"I couldn't understand what it meant, but the military would  have come up with a satisfactory conclusion."
エリコを尋問する前は、事件の本当の黒幕は彼女だと思っていた。しかし、今ではプリスが彼女を利用したと信じている。,"Before I interrogated Eriko, I thought she was the real      mastermind behind the incident. But now, I believe Priss usedher."
エイプリルやレイファや他の囚人達も、どういう理由でかは知らないがプリスに命令されて軍の機密を盗んだに違いない。,"I suspect April, Lei-Fa, and the other Prisoners stole       military secrets on Priss's orders. However, the motive      remains unclear to me."
エイプリルが体内に隠し持っていたチップは、軍に引き渡された。間もなく解析された結果が届くだろう。,The chip April had hidden inside her body was handed over to the military. We'll receive the analysis results soon.
おそらく、そこには軍から盗まれた機密が記録されているはずだ。加藤がその内容をわたしに明かすかどうかは不明だが‥‥‥,It likely contain the stolen military secrets. Whether Kato will reveal its contents to me remains unclear...
エリコを尋問する前は、事件の本当の黒幕は彼女だと思っていた。しかし、今ではプリスが彼女を利用したと信じている。,"Before I interrogated Eriko, I thought she was the real      mastermind behind the incident. But now, I believe Priss usedher."
エイプリルやレイファや他の囚人達も、どういう理由でかは知らないがプリスに命令されて軍の機密を盗んだに違いない。,"I suspect April, Lei-Fa, and the other Prisoners stole       military secrets on Priss's orders. However, the motive      remains unclear to me."
プリスを尋問する前に、エイプリルとレイファを尋問しよう。ふたりがまだ情報を隠し持っているのは、もうわかっている。,"Before interrogating Priss, I'll interrogate April and       Lei-Fa. I already know they're still hiding information."
ふたりの弱みもわかっているし、大した苦労はないだろう。プリスには、たっぷり苦痛を味あわせてやりたいし‥‥‥,"I know their weaknesses, so it shouldn't be too difficult.    I really want to make Pris suffer as much as possible..."
逃げ出した他の囚人を捕まえる前に、エリコから聞き出した秘密警察のプリスを当たってみよう。,"Before capturing the other escaped prisoners, I'll try the  lead to contact Priss, the secret police officer I found out about from Eriko."
どのみち、他の５人を見つける手だてもない。プリスはまだわたしの事を知らないはずだ。,"Regardless, I have no way of finding the other five anyway.  Priss probably doesn't know about me yet."
１度ならず２度までも囚人の脱獄を許したのは、やはり情報部内に彼女等に協力する人間が居るからに他ならない。,"The fact that prisoners have gotten away not once, but twice,can only mean there's someone within the Intelligence        Division helping them out.."
これではわたしが囚人を逮捕しても無駄な事だ。内部の裏切り者を見つけない限り、彼女達は何度でも逃げ出すだろう。,"At this rate, it's pointless for me to arrest the prisoners. Unless I find the traitor within, they'll just keep escaping again and again."
逃げ出した他の囚人を捕まえる前に、エリコから聞き出した秘密警察のプリスを当たってみよう。,"Before capturing the other escaped prisoners, I'll try the  lead to contact Priss, the secret police officer I found out about from Eriko."
サカタ・ネオテクの社長、坂田がエリコを引き渡したのは、彼女が混血だからだろうか‥‥‥,"I wonder if Sakata, the president of Sakata Neotech, handed  Eriko over because she's mixed-race..."
早くエリコを尋問しよう。そうすれば、事件の全てが解明するはずだ。わたしの任務も終わる。,I'll interrogate Eriko quickly. That should uncover the wholetruth behind this case. My mission will be complete.
ミツコを拷問して、事件の黒幕、エイプリル達を組織した張本人がエリコという女だった事がわかった‥‥‥,"After torturing Mitsuko, I learned that the mastermind behindthe incident, the one who organized April and the others, wasa woman named Eriko..."
まずはエリコを捕えて尋問しなければならない。しかし、サカタは日本でも有数のザイバツ、コングロマリットだ。,"First, I must capture and interrogate Eriko. However, Sakata is one of Japan's leading corporate conglomerates."
わたしごときが相手に出来る相手ではない。軍の後ろ盾があったとしても、一筋縄ではいかないだろう‥‥‥,"She's not someone someone like me can take on. Even with     military backing, it won't be easy..."
まずはエリコを捕まえて尋問しなければならない。彼女が事件の黒幕なら、それで任務が達成されるのだから。,"First, I must capture and interrogate Eriko. If she is the   mastermind behind the incident, then my mission will be      accomplished."
