Original_Japanese,Translated_English
ナナからは、すでにミツコの居所を聞き出している。これ以上何かを知っているとは思えない。,I've already extracted Mitsuko's location from Nana. I doubt she knows anything more.
ミツコを尋問してみよう。彼女は他の３人の囚人をスカウトした張本人らしい。何も知らないとは思えないからな‥‥‥,Let's interrogate Mitsuko. She seems to be the one who       recruited the other three prisoners. I can't believe she     doesn't know anything...
窓の外の小さな公園に何かに不満を訴えるデモ隊が集まり、情報部のビルに向かって奇声を上げている。,"Outside the window, a small park holds a protest group       voicing grievances, shouting strange cries toward the        Intelligence Division building."
わたしの部屋からはほとんど何も聞こえないし、まさか武力行使に訴えるとも思えない、つまりほとんど何の影響もない訳。,"Hardly anything reaches my room, and I doubt they'd resort   to force-meaning it has almost no impact."
しかし、この種のデモやもっと始末に負えないテロ行為は増える一方。軍の統制力に陰りが見えてきたようだ‥‥‥,"But these kinds of protests, and even more uncontrollable    terrorist acts, are only increasing. It seems the military's control is starting to show cracks..."
はるか頭上から街を照らしている灯かりは、厚い雲に覆われてほとんどその威力を発揮していない。,"The lights illuminating the city from far above are barely   effective, obscured by thick clouds."
ただでさえ常に夜のような街は、さらに暗くなってしまった。こういう時は、悪質な犯罪が急激に増えることだろう。,"The city, already perpetually night-time, has grown even     darker. Times like this usually see a sharp rise in violent  crime."
はるか頭上から街を照らしている灯かりは、厚い雲に覆われてほとんどその威力を発揮していない。,"The lights illuminating the city from far above are barely   effective, obscured by thick clouds."
他の３人の囚人の証言で、軍の機密を盗もうと言い出したのがミツコであるのはわかっている。,The testimonies of the other three prisoners confirm that    Mitsuko was the one who suggested stealing military secrets.
ただし、背後で彼女達を操っていた人間がいる事も明らか。ミツコがその人物を知っているはずだ。,"However, it's also clear someone was manipulating them behindthe scenes. Mitsuko must know who that person is."
やっとこの事件全体を支配する、リズムやカラーを理解しかけた気がする。この分なら、もうじき任務は終了するだろう。,"I feel like I'm finally starting to grasp the rhythm and     color dominating this entire incident. At this rate, my      mission should be over soon."
ミツコを尋問すれば、事件の背後で彼女達を操っていた黒幕の存在がわかるはずだ。,Interrogating Mitsuko should reveal the existence of the     mastermind manipulating them behind the scenes.
ナナがミツコと落ち合う約束をしたのは、東京と千葉を結ぶ地下鉄の中。そこに行けば、ミツコを捕らえる事が出来るだろう。,Nana arranged to meet Mitsuko on the subway connecting Tokyo and Chiba. Going there should allow us to capture Mitsuko.
ナナはエイプリルやレイファと違って、ただの元兵士。拷問すれば簡単に口を割りそうだ‥‥‥,"Unlike April or Lei-Fa, Nana is just a former soldier. Tortureshould make her talk easily..."
アンナはモリイと知り合いだったのか？　モリイの店に行ってみろと言ってたが‥‥‥,Did Anna know Morii? She said to go to Morii's shop...
千葉の怪しげな店で会った女、モリイといった‥‥‥モリイは千葉の裏世界でもかなり知れた顔らしい。,"The woman we met at that shady shop in Chiba, Mori... Seems  Mori is quite a well-known figure in Chiba's underworld."
ふたりの事も、何か知っていそうな素振りだった。しかし、軍部や情報部の権威は、千葉では何の効力もない。,She seemed to know something about the two of them too. But  the authority of the military or intelligence agencies holds no influence in Chiba.
力ずくでってのも、あの女が相手ではいい考えとも思えない‥‥‥どうしたらモリイの口を割る事ができる？,Using force doesn't seem like a good idea against that woman either... How can I get Mori to talk?
エイプリルとレイファから聞き出した話だと、彼女達をスカウトしたのは、元軍部高官の秘書だったミツコらしい。,"According to what April and Lei-Fa said, the one who         recruited them was Mitsuko, who used to be a secretary to a  high-ranking military official."
そして、ミツコとナナは恋人同士だった。ふたりが一緒に千葉に潜伏しているという話は、まんざら嘘ではなさそうだ。,And Mitsuko and Nana were lovers. The story that they were   hiding out together in Chiba didn't seem entirely false.
次にわたしがすべき事は、ナナとミツコを捕まえる事だ。ふたりは千葉シティに逃げ込んだらしい。しかし‥‥‥,The next thing I had to do is capture Nana and Mitsuko. They seemed to have fled into Chiba City. But...
次にわたしがすべき事は、ナナとミツコを捕まえる事だ。ふたりは千葉シティに逃げ込んだらしい。しかし‥‥‥,The next thing I had to do is capture Nana and Mitsuko. They seemed to have fled into Chiba City. But...
